Data de divulgação;PIM-PF_ECOS_MEDIANA_MOM;PIM-PF_ECOS_MEDIANA_YOY;data_referencia;;;;
05/11/2004;0,02;0,1;mar/04;;;;
04/08/2004;0,001;0,009;fev/04;;;;
03/10/2004;-0,002;0,007;jan/04;;;;
02/06/2004;0,004;0,036;dez/03;;;;
01/08/2004;;0,018;nov/03;;;;
12/08/2003;0,006;0,014;out/03;;;;
11/05/2003;0,028;0,022;set/03;;;;
10/07/2003;0,005;-0,014;ago/03;;;;
09/05/2003;0,012;-0,011;jul/03;;;;
08/06/2003;-0,005;0,001;jun/03;;;;
07/08/2003;-0,005;0;mai/03;;;;
06/09/2003;0,01;-0,02;abr/03;;;;
05/09/2003;-0,023;;mar/03;;;;
04/08/2003;0,006;0,047;fev/03;;;;
3/14/2003;-0,009;0,018;jan/03;;;;
02/06/2003;0,002;0,063;dez/02;;;;
01/09/2003;0,006;0,059;nov/02;;;;
12/09/2002;;0,069;out/02;;;;
11/07/2002;0,006;0,06;set/02;;;;
10/08/2002;-0,001;0,015;ago/02;;;;
09/06/2002;-0,008;0,025;jul/02;;;;
08/08/2002;-0,005;0,003;jun/02;;;;
07/08/2002;-0,029;-0,003;mai/02;;;;
06/07/2002;;0,006;abr/02;;;;
05/08/2002;-0,001;-0,023;mar/02;;;;
04/09/2002;-0,002;-0,026;fev/02;;;;
3/13/2002;0,006;-0,035;jan/02;;;;
02/06/2002;0,012;-0,058;dez/01;;;;
01/09/2002;0,005;-0,017;nov/01;;;;
12/06/2001;-0,001;-0,021;out/01;;;;
11/07/2001;-0,006;-0,01;set/01;;;;
10/08/2001;-0,008;-0,017;ago/01;;;;
09/11/2001;-0,01;-0,012;jul/01;;;;
08/06/2001;-0,018;0,007;jun/01;;;;
