Data;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18
23/05/2014; ; ;-1,45;0,37;1,45;1,75;1,6;1,95;1,46;1,8;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
26/05/2014; ; ;-1,45;0,37;1,45;1,75;1,6;1,95;1,46;1,8;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
27/05/2014; ; ;-1,45;0,37;1,45;1,75;1,6;1,95;1,46;1,8;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
28/05/2014; ; ;-1,45;0,37;1,45;1,75;1,6;1,95;1,46;1,8;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
29/05/2014; ; ;-1,9;0,37;1,45;1,75;1,6;1,95;1,46;1,8;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
30/05/2014; ; ;-1,9;0,2;1,04;1,4;1,4;1,54;0,8;1,26;2,85;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
02/06/2014; ; ;-2,15;0,37;1,45;1,75;1,6;1,95;1,68;1,9;2,5;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
03/06/2014; ; ;-2,4;0,28;1,4;1,7;1,5;1,7;1,46;1,8;2,85;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
04/06/2014; ; ; ;0,28;1,4;1,7;1,5;1,7;1,46;1,8;2,85;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
05/06/2014; ; ; ;0,28;1,4;1,7;1,5;1,7;1,46;1,8;2,85;2;2;1,79;2;1,5;1,77;1,7;1,8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
06/06/2014; ; ; ;0,28;1,4;1,7;1,5;1,7;1,46;1,91;2,85;2;2;1,79;2;1,5;1,77;1,7;1,8;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
09/06/2014; ; ; ;0,37;0,99;1,46;1,5;1,29;1,68;2;3,2;1,8;2;1,75;2;1,7;1,83;1,85;1,75;1,23;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
10/06/2014; ; ; ;0,18;0,58;1,22;1,3;0,89;1,46;1,91;2,85;1,9;2;1,79;2;1,5;1,77;1,7;1,8;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
11/06/2014; ; ; ;0,18;0,58;1,22;1,3;0,89;1,46;1,91;2,85;1,9;2;1,79;2;1,5;1,77;1,7;1,8;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
12/06/2014; ; ; ;0,18;0,58;1,22;1,3;0,89;1,46;1,91;2,85;1,9;2;1,79;2;1,5;1,77;1,7;1,8;1;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
13/06/2014; ; ; ;0;0,29;1,06;1,15;0,44;1,13;1,45;2,5;1,8;2;1,79;2;1,3;1,7;1,64;1,75;1,23;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
16/06/2014; ; ; ;-0,3;-0,5;0,45;0,55;0;0,4;0,66;2,5;1,8;2;1,7;1,7;1,05;1,7;1,29;1,52;1,23;1,43; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;;;;;;
